date,lat,long,acreage,temp,humidity,wind,drought
2018-07-12 22:00,39.77124,-121.76859,962.0,97.81486,18.5,10.770872,1
2018-07-09 18:00,40.33682,-121.93908,856.0,80.76831,22.3,5.313843,2
2018-10-30 14:00,39.36529,-121.51707,550.0,48.94487,57.1,7.5547404,1
2018-09-22 15:00,37.38789,-119.68912,360.0,73.16319,12.0,7.9742303,1
2018-06-04 17:00,37.10181,-119.623981,300.0,86.77031,23.4,8.404453,2
2018-08-06 16:00,38.061298,-120.872244,290.0,69.726715,53.1,8.391142,2
2018-06-06 09:00,32.63046,-116.46674,265.0,54.785973,64.2,5.7360735,2
2018-08-09 13:00,33.076239,-116.902985,250.0,69.27568,47.7,3.0764651,1
2018-07-25 14:00,37.89612,-121.85847,247.0,81.68973,24.9,6.435247,1
2018-07-01 18:00,41.085,-123.051,215.0,80.52397,26.1,8.673116,1
2018-06-17 15:00,37.05876,-121.176354,185.0,54.335205,79.7,19.855066,0
2018-09-09 12:00,34.2325,-117.846111,166.0,68.18215,18.2,4.1984205,1
2018-09-10 19:00,38.02447,-122.727,152.0,76.444145,42.8,9.3723135,0
2018-10-02 12:00,35.97677,-121.24898,150.0,62.15879,55.2,2.2390635,1
2018-11-13 08:00,34.18075,-117.43184,147.0,61.398754,7.8,23.770906,1
2018-08-05 04:00,38.08424,-120.46078,136.0,79.964935,22.1,4.4781876,0
2018-08-31 17:00,34.15475,-117.244366,125.0,77.33646,35.0,3.7774127,1
2018-10-24 12:00,36.47766,-119.10433,120.0,55.706738,42.3,2.7999566,1
2018-07-06 20:00,34.463889,-119.831389,113.0,101.08423,22.8,8.539088,1
2018-08-26 18:00,39.02017,-122.57496,103.0,77.206436,29.1,1.6820832,1
2018-05-24 10:00,35.56922,-120.12441,100.0,52.239727,86.1,12.447212,0
2018-06-29 17:00,35.1234,-118.72905,95.0,68.59414,43.0,10.911525,0
2018-05-28 17:00,39.65578,-122.58666,75.0,83.295334,28.3,16.501389,1
2018-04-28 14:00,33.67815,-117.32281,73.0,47.23474,90.8,2.5173097,1
2018-06-13 21:00,40.394073,-122.135924,70.0,92.95632,16.0,5.041743,0
2018-07-21 16:00,39.279833,-123.258319,67.0,72.03319,32.5,2.5280113,0
2018-10-07 12:00,37.1769444,-121.68694444,63.0,59.031967,57.7,8.530854,1
2018-07-04 14:00,33.56349,-116.732032,63.0,64.62274,48.9,0.7044324,1
2018-05-29 12:00,37.32744,-121.10903,63.0,66.18753,49.2,4.1960034,0
2018-06-23 19:00,34.53765,-118.75495,62.0,83.24803,42.9,12.454899,1
2018-06-11 12:00,38.24033,-121.09199,62.0,52.26225,70.4,3.9176106,1
2018-08-30 15:00,38.8275,-122.3625,60.0,56.927376,68.7,6.1590567,1
2018-05-22 14:00,33.35505,-117.03134,59.0,54.30977,82.1,3.9202511,1
2018-10-19 14:00,35.17693,-120.48861,58.0,50.867203,29.4,5.7372513,1
2018-07-15 11:00,40.95234,-121.21597,56.0,67.9187,46.2,7.2703996,1
2018-07-08 16:00,37.79718,-121.85311,56.0,65.688644,64.6,5.878512,0
2018-07-15 17:00,40.27754,-122.11375,50.0,82.72508,45.6,4.7610393,1
2018-08-26 14:00,37.69926,-122.02805,48.0,55.5103,89.9,3.2176938,1
2018-07-19 12:00,39.57202,-121.43131,43.0,75.37248,32.2,3.3603346,1
2018-06-19 15:00,37.779209,-121.908976,40.0,57.479546,83.8,3.5030437,1
2018-07-25 14:00,36.796,-121.40604,39.0,57.502235,66.5,1.6817498,0
2018-10-14 11:00,40.60866,-122.38366,38.0,65.706436,12.2,19.29649,1
2018-09-02 14:00,38.981389,-122.97222,36.0,56.642223,36.8,1.2601556,1
2018-11-08 11:00,39.62194,-123.28774,35.0,53.788193,50.5,15.803408,1
2018-06-03 15:00,36.83036,-121.36446,35.0,68.21335,49.7,0.98453027,1
2018-08-17 18:00,35.17156,-118.51651,34.0,84.68494,24.7,16.36258,1
2018-07-25 16:00,37.71173,-121.55604,34.0,85.79257,26.8,15.247612,1
2018-09-24 00:00,39.84151,-121.62168,33.0,80.192184,19.0,6.0191827,1
2018-07-15 16:00,41.08583,-121.05722,32.0,72.47154,46.3,3.0776906,0
2018-07-08 14:00,40.62693,-122.23449,31.0,61.368267,44.7,1.9656531,0
2018-09-23 16:00,37.33563,-121.75815,30.0,60.34242,48.1,1.4003085,1
2018-06-29 15:00,38.595865,-121.17693,30.0,62.661026,69.5,4.0595098,0
2018-07-17 14:00,32.557566,-116.8663,28.0,67.46727,84.8,0.5613441,1
2018-06-16 15:00,38.015323,-121.998967,25.0,57.65989,81.3,4.477079,0
2018-08-22 13:00,33.946896,-117.066643,23.0,61.62172,83.8,2.2430272,0
2018-11-15 13:00,37.81111,-121.7944,20.0,45.091145,13.9,7.2736573,1
2018-11-14 14:00,37.61158,-121.94182,20.0,51.53704,19.5,8.813454,1
2018-06-17 15:00,37.627119,-121.806775,20.0,56.135204,71.6,10.208263,0
2018-11-03 21:00,37.0125,-122.046,17.0,81.465836,19.1,2.106067,0
2018-10-10 21:00,41.94046,-122.43933,15.0,63.303783,32.8,9.651192,1
2018-04-15 04:00,33.711263,-116.164058,15.0,75.82298,9.6,2.5200162,0
2018-08-06 10:00,33.05737,-116.77154,14.0,69.262985,16.9,7.6947074,1
2018-06-02 09:00,36.10499,-120.55324,13.0,57.136333,34.0,3.5007393,1
2018-05-10 20:00,33.12213,-116.58759,12.0,77.03444,26.6,19.717392,1
2018-07-17 19:00,41.632373,-122.37985,10.0,89.92003,23.6,5.87528,0
2018-06-19 16:00,35.77017,-120.57833,10.0,68.1994,47.1,1.263423,1
2019-10-30 07:00,34.282179,-118.803389,1806.0,58.915237,38.9,7.2787447,1
2019-10-30 11:00,34.01778,-117.4625,494.0,59.7062,8.6,18.877249,1
2019-11-25 12:00,38.838992,-121.325842,355.0,39.249165,73.2,0.42434147,1
2019-10-18 12:00,36.319291,-120.460189,137.0,49.420086,47.3,19.998915,1
2019-10-15 16:00,38.045866,-122.245186,15.0,51.271557,92.1,5.87502,0
2019-09-03 15:00,37.178353,-122.07743,10.0,66.60391,60.1,2.2412217,0
2019-10-23 21:00,38.792458,-122.780053,77758.0,73.034485,23.2,20.425566,0
2019-10-10 21:00,34.32988,-118.48161,8799.0,74.880516,8.1,25.591078,4
2019-10-06 16:00,37.604638,-119.96606,5563.0,65.83014,28.1,3.503802,0
2019-11-03 14:00,40.036379,-122.637837,2534.0,48.659775,23.7,4.894545,1
2019-06-08 14:00,38.88978,-122.23922,2512.0,63.05181,28.7,15.530481,0
2019-09-07 08:00,41.862237,-122.662258,1872.0,61.605022,51.4,5.316008,0
2019-08-16 06:00,32.573437,-116.658735,1507.0,72.49719,37.6,4.0569267,1
2019-06-08 14:00,39.28926,-121.85906,1350.0,58.77681,45.9,15.67029,0
2019-08-09 23:00,42.033,-122.175,1301.0,74.274506,33.2,13.986418,0
2019-07-08 16:00,35.63111111,-120.26916667,974.0,60.467827,74.2,5.453686,0
2019-08-31 15:00,36.40193,-119.030621,756.0,73.9798,64.2,5.037226,0
2019-10-28 06:00,34.098191,-118.478717,745.0,59.526352,47.8,8.673827,1
2019-09-07 15:00,39.45296,-121.412619,496.0,69.85158,41.5,3.07983,0
2019-07-30 13:00,36.008889,-121.466944,280.0,58.209312,25.7,3.6399617,1
2019-09-05 09:00,40.062304,-123.222196,244.0,66.77959,26.3,9.7897835,0
2019-06-09 14:00,37.21638,-121.70768,210.0,61.24813,33.5,3.7786434,0
2019-10-31 06:00,34.183,-117.285,200.0,60.971054,5.2,18.60381,1
2019-05-03 15:00,35.03855,-119.19454,172.0,62.736614,33.1,3.0767486,1
2019-04-28 22:00,35.81778,-120.09715,161.0,82.61665,25.5,15.954709,0
2019-08-15 15:00,40.484329,-122.159393,156.0,73.20153,43.6,3.4986265,0
2019-06-26 22:00,38.73817,-121.39419,148.0,80.97749,38.7,14.549738,0
2019-10-27 11:00,38.07205,-122.22463,140.0,53.03382,29.7,1.6829729,1
2019-08-07 17:00,40.886677,-120.336977,130.0,73.00268,21.7,4.8981304,0
2019-05-18 22:00,33.650237,-116.172534,130.0,88.695274,13.8,12.744192,0
2019-06-10 11:00,35.57376,-120.11738,120.0,65.28659,34.1,5.3202634,0
2019-10-25 10:00,33.055124,-116.742508,97.0,66.24477,6.9,35.3768,0
2019-07-24 20:00,35.004722,-120.435278,95.0,85.49139,45.1,8.672909,1
2019-08-05 15:00,33.740219,-117.333728,94.0,71.82736,50.2,1.9624113,1
2019-08-02 09:00,38.3525,-121.123611,84.0,63.44919,77.3,4.7594113,0
2019-08-13 15:00,38.455,-121.969167,81.0,71.30925,59.2,2.9386818,0
2019-07-22 19:00,34.42386,-117.10318,81.0,95.150894,16.0,9.367902,1
2019-10-24 14:00,39.551423,-121.800538,80.0,62.083588,24.8,15.241953,1
2019-06-08 13:00,39.15641,-121.56363,70.0,58.42739,45.6,13.426133,0
2019-10-24 12:00,37.896231,-122.636471,67.0,76.58873,11.6,17.3432,1
2019-07-22 15:00,38.481258,-122.143942,64.0,67.08858,62.6,2.2414355,0
2019-07-15 11:00,37.32555556,-121.76444444,47.0,59.165344,60.8,1.9603834,0
2019-06-10 17:00,35.89593,-118.94106,47.0,87.87427,21.4,8.115016,1
2019-06-22 03:00,39.97083,-122.48277,46.0,83.88997,13.5,12.031201,0
2019-05-30 12:00,33.69078,-114.57265,45.0,67.8324,27.5,3.0810506,1
2019-09-05 14:00,38.017138,-120.945044,44.0,68.02823,59.2,6.8558946,0
2019-06-12 17:00,35.97059,-120.88241,43.0,87.04062,28.5,6.7242627,0
2019-07-06 20:00,39.06066,-121.35014,38.0,86.95773,36.2,6.293949,0 
2019-09-12 20:00,33.854597,-117.270144,34.0,91.537,15.9,6.5827975,1
2019-08-10 18:00,39.171091,-121.423281,33.0,76.669754,53.8,8.533464,0 
2019-10-11 12:00,35.709176,-120.312856,30.0,46.857964,30.3,6.1582584,1
2019-09-26 15:00,38.07944444,-122.25611111,30.0,62.650978,88.0,5.5987945,0
2019-07-05 14:00,40.41741,-122.767256,30.0,68.82013,28.5,3.781301,0 
2019-06-03 12:00,36.14246,-118.80582,25.0,61.986248,47.4,4.895594,1
2019-06-06 14:00,38.02503,-121.9763,23.0,59.0596,75.4,17.90247,0
2019-08-14 12:00,39.088333,-122.309167,20.0,76.21832,36.1,9.09406,0
2019-06-27 16:00,33.80493,-117.15738,20.0,60.095444,91.9,1.543658,0
2019-08-31 12:00,37.718636,-121.657011,19.0,62.160107,55.4,14.121403,0
2019-06-15 15:00,39.76242,-121.73659,17.0,62.81813,78.7,1.9644359,0
2019-09-24 08:00,40.612556,-122.039167,16.0,65.23485,32.4,4.1981597,0
2019-07-30 19:00,38.757636,-120.75664,13.0,79.538666,32.8,6.997153,0
2019-09-13 20:00,37.492002,-120.401028,11.0,91.73535,18.2,5.606427,0
